ts,open,high,low,close,volume
2024-03-18T13:30:00Z,431.2,432.0,430.7,431.5,1820000
2024-03-18T13:45:00Z,431.5,432.3,430.9,431.9,1764000
2024-03-18T14:00:00Z,431.8,432.9,431.2,432.6,1895000
2024-03-18T14:15:00Z,432.5,433.4,431.6,432.1,1752000
2024-03-18T14:30:00Z,432.2,433.1,431.5,432.8,1683000
2024-03-18T14:45:00Z,432.9,433.8,432.1,433.5,1954000
2024-03-18T15:00:00Z,433.6,434.5,432.7,434.1,2042000
2024-03-18T15:15:00Z,434.0,434.8,433.3,433.6,1988000
2024-03-18T15:30:00Z,433.5,434.2,432.6,432.9,1875000
2024-03-18T15:45:00Z,432.8,433.4,432.0,432.4,1796000
